index,sentence,video_path
2980,আমি জানুয়ারিতে পাকিস্তান যাব,data/videos/video/2980.mp4
2835,আমার মামা ইশারা ভাষা পছন্দ করে,data/videos/video/2835.mp4
3119,আমি মিটিং এ যাই,data/videos/video/3119.mp4
1345,দেখা করে খুশি হলাম,data/videos/video/1345.mp4
4168,দেখা করে খুশি হলাম,data/videos/video/4168.mp4
2335,আমার আনারস ভালো লাগে,data/videos/video/2335.mp4
2611,আমার ফুফাতো বোন বিদেশ যাবে,data/videos/video/2611.mp4
4765,আমার বাবা অংকের শিক্ষক,data/videos/video/4765.mp4
3710,আমার বাবা অংকের শিক্ষক,data/videos/video/3710.mp4
792,অসৎ সাংবাদিক দের তথ্যে আমরা ভুল বুঝি,data/videos/video/792.mp4
4641,অসৎ সাংবাদিক দের তথ্যে আমরা ভুল বুঝি,data/videos/video/4641.mp4
971,আমার বোন এখন শিক্ষাগ্রহণ করছে,data/videos/video/971.mp4
920,আমার পরিবার সুন্দর,data/videos/video/920.mp4
5420,২২ ডিসেম্বর আমার জন্মদিন,data/videos/video/5420.mp4
1513,২২ ডিসেম্বর আমার জন্মদিন,data/videos/video/1513.mp4
5306,২২ ডিসেম্বর আমার জন্মদিন,data/videos/video/5306.mp4
3419,২২ ডিসেম্বর আমার জন্মদিন,data/videos/video/3419.mp4
2214,তুমি সোমবার মাংস খাবে,data/videos/video/2214.mp4
2931,আমার শরৎকাল অনেক ভালো লাগে,data/videos/video/2931.mp4
2621,আমার ফুফাতো ভাই আমেরিকা যাবে,data/videos/video/2621.mp4
919,আমার পরিবার ভাল,data/videos/video/919.mp4
1649,আমার বাবা চিংড়ি দেখেছে,data/videos/video/1649.mp4
2881,আমার মামাতো ভাই এশিয়া যাবে,data/videos/video/2881.mp4
2121,আমি বৃহস্পতিবার মাছ খাবো,data/videos/video/2121.mp4
87,আমার ভাইয়ের পৃথিবী দেখতে ভালো লাগে,data/videos/video/87.mp4
4476,আমার ভাইয়ের পৃথিবী দেখতে ভালো লাগে,data/videos/video/4476.mp4
2206,তুমি শনিবার মাছ খাবা,data/videos/video/2206.mp4
1938,আমার মা বুধবার মাংস খায়,data/videos/video/1938.mp4
2403,আমার খালাতো ভাই কানাডা যাবে,data/videos/video/2403.mp4
4878,আমার বাসা সিলেট বিভাগে,data/videos/video/4878.mp4
3465,আমার বাসা সিলেট বিভাগে,data/videos/video/3465.mp4
5411,আমার বোন একজন ডাক্তার,data/videos/video/5411.mp4
3726,আমার বোন একজন ডাক্তার,data/videos/video/3726.mp4
4850,তুমার অনেক ভালো মন,data/videos/video/4850.mp4
3563,তুমার অনেক ভালো মন,data/videos/video/3563.mp4
5233,তোমার বাবা কোথায় কাজ করে,data/videos/video/5233.mp4
3324,তোমার বাবা কোথায় কাজ করে,data/videos/video/3324.mp4
2173,চাচা তুমি কই যাও,data/videos/video/2173.mp4
3523,আমি রাতে অনেক বেশি সময় দেরি করে ঘুমাতে যাই,data/videos/video/3523.mp4
5285,আমি রাতে অনেক বেশি সময় দেরি করে ঘুমাতে যাই,data/videos/video/5285.mp4
800,আজকে বুধবার,data/videos/video/800.mp4
4649,আজকে বুধবার,data/videos/video/4649.mp4
172,আমি আগস্টে ইংল্যান্ড যাব,data/videos/video/172.mp4
4331,আমি আগস্টে ইংল্যান্ড যাব,data/videos/video/4331.mp4
236,আমি ডিসেম্বরে বিদেশ যাব,data/videos/video/236.mp4
4429,আমি ডিসেম্বরে বিদেশ যাব,data/videos/video/4429.mp4
2748,আমার বোন রাশিয়া যাবে,data/videos/video/2748.mp4
2477,আমার চাচা রাশিয়া যাবে,data/videos/video/2477.mp4
2393,আমার খালাতো বোন মালদ্বীপ যাবে,data/videos/video/2393.mp4
2671,আমার বসন্তকাল ভালো লাগে,data/videos/video/2671.mp4
3036,আমি বুধবারে অফিস যাব,data/videos/video/3036.mp4
2025,আমার স্ত্রী শুক্রবার মাংস খাবে,data/videos/video/2025.mp4
2689,আমার বাবা চীন যাবে,data/videos/video/2689.mp4
2101,আমি পরশু কি করবো,data/videos/video/2101.mp4
3289,তুমি বাসা কোথায়,data/videos/video/3289.mp4
5159,তুমি বাসা কোথায়,data/videos/video/5159.mp4
3450,আমার কাজের চাপ বেশি,data/videos/video/3450.mp4
5008,আমার কাজের চাপ বেশি,data/videos/video/5008.mp4
4408,আমি ফেব্রুয়ারিতে অস্ট্রেলিয়া যাব,data/videos/video/4408.mp4
257,আমি ফেব্রুয়ারিতে অস্ট্রেলিয়া যাব,data/videos/video/257.mp4
1996,আমার মেয়ে শনিবার মাছ খায়,data/videos/video/1996.mp4
4493,আমার বোন মহাসাগর দেখতে যাবে,data/videos/video/4493.mp4
49,আমার বোন মহাসাগর দেখতে যাবে,data/videos/video/49.mp4
1001,আমার মা অনেক খুশি,data/videos/video/1001.mp4
4502,তুমি দ্বীপ দেখতে যাবে,data/videos/video/4502.mp4
318,তুমি দ্বীপ দেখতে যাবে,data/videos/video/318.mp4
5341,আমার দেশ বাংলাদেশ,data/videos/video/5341.mp4
910,আমার দেশ বাংলাদেশ,data/videos/video/910.mp4
5227,আমার দেশ বাংলাদেশ,data/videos/video/5227.mp4
3872,আমার দেশ বাংলাদেশ,data/videos/video/3872.mp4
3705,আমার দেশ বাংলাদেশ,data/videos/video/3705.mp4
130,আমার মামার বিড়াল ভালো লাগে,data/videos/video/130.mp4
4567,আমার মামার বিড়াল ভালো লাগে,data/videos/video/4567.mp4
4978,আমি প্রতিদিন সি এন জি দিয়ে যাই,data/videos/video/4978.mp4
3512,আমি প্রতিদিন সি এন জি দিয়ে যাই,data/videos/video/3512.mp4
814,আপনাকে আমার ভালো লেগেছে,data/videos/video/814.mp4
4662,আপনাকে আমার ভালো লেগেছে,data/videos/video/4662.mp4
4356,আমি অক্টোবর রাশিয়া যাব,data/videos/video/4356.mp4
155,আমি অক্টোবর রাশিয়া যাব,data/videos/video/155.mp4
4658,আজকে শুক্রবার,data/videos/video/4658.mp4
809,আজকে শুক্রবার,data/videos/video/809.mp4
266,আমি ফেব্রুয়ারিতে বিদেশ যাব,data/videos/video/266.mp4
4418,আমি ফেব্রুয়ারিতে বিদেশ যাব,data/videos/video/4418.mp4
2694,আমার বাবা পাকিস্তান যাবে,data/videos/video/2694.mp4
3709,আমার বাইরে যেতে ভালো লাগে,data/videos/video/3709.mp4
4732,আমার বাইরে যেতে ভালো লাগে,data/videos/video/4732.mp4
1149,আমি বাজারে যাচ্ছি,data/videos/video/1149.mp4
3972,আমি বাজারে যাচ্ছি,data/videos/video/3972.mp4
2372,আমার খালা রান্না খেতে মজা,data/videos/video/2372.mp4
2707,আমার বাবা শ্রমিক,data/videos/video/2707.mp4
872,আমার অফিসার আছে,data/videos/video/872.mp4
3947,আমার অফিসার আছে,data/videos/video/3947.mp4
4639,অফিসে আমি কেন যাবো,data/videos/video/4639.mp4
790,অফিসে আমি কেন যাবো,data/videos/video/790.mp4
3533,কমলার জিউস খাবেন,data/videos/video/3533.mp4
4967,কমলার জিউস খাবেন,data/videos/video/4967.mp4
3363,মাংস খেতে সুস্বাদু,data/videos/video/3363.mp4
5151,মাংস খেতে সুস্বাদু,data/videos/video/5151.mp4
3611,প্রধান মন্ত্রী আমাদের অনেক সাহায্য দিচ্ছে,data/videos/video/3611.mp4
4842,প্রধান মন্ত্রী আমাদের অনেক সাহায্য দিচ্ছে,data/videos/video/4842.mp4
1730,আমার বোন বিড়াল দেখেছে,data/videos/video/1730.mp4
1143,আমি বসবো,data/videos/video/1143.mp4
3967,আমি বসবো,data/videos/video/3967.mp4
156,আমি অক্টোবর শ্রীলঙ্কা যাব,data/videos/video/156.mp4
4283,আমি অক্টোবর শ্রীলঙ্কা যাব,data/videos/video/4283.mp4
813,আজকের দিনটা অনেক সুন্দর,data/videos/video/813.mp4
4661,আজকের দিনটা অনেক সুন্দর,data/videos/video/4661.mp4
2193,তুমি বৃ্‌হস্পতিবার মাছ খাবো,data/videos/video/2193.mp4
2961,আমি এপ্রিল মাসে ঘুরতে যাব,data/videos/video/2961.mp4
4211,বিজিবি আমাকে ধরেছে,data/videos/video/4211.mp4
1381,বিজিবি আমাকে ধরেছে,data/videos/video/1381.mp4
1308,তোমার ছেলে অনেক সুন্দর,data/videos/video/1308.mp4
4130,তোমার ছেলে অনেক সুন্দর,data/videos/video/4130.mp4
224,আমি জুলাইয়ে জাপান যাবো,data/videos/video/224.mp4
4307,আমি জুলাইয়ে জাপান যাবো,data/videos/video/4307.mp4
1650,আমার বাবা চিড়িয়াখানা যাবে,data/videos/video/1650.mp4
3476,আমার শোনার বাংলা,data/videos/video/3476.mp4
5259,আমার শোনার বাংলা,data/videos/video/5259.mp4
1453,রঙ এর নাম সাদা,data/videos/video/1453.mp4
4266,রঙ এর নাম সাদা,data/videos/video/4266.mp4
4769,আমার ভূগোল ভালো লাগে,data/videos/video/4769.mp4
3746,আমার ভূগোল ভালো লাগে,data/videos/video/3746.mp4
4330,আমি ডিসেম্বরে ইংল্যান্ড যাব,data/videos/video/4330.mp4
231,আমি ডিসেম্বরে ইংল্যান্ড যাব,data/videos/video/231.mp4
1738,আমার বোন বৃহস্পতিবার মাছ খায়,data/videos/video/1738.mp4
3097,আমি মঙ্গলবারে চিন যাবো,data/videos/video/3097.mp4
4131,তোমার ছেলে কি করে,data/videos/video/4131.mp4
1309,তোমার ছেলে কি করে,data/videos/video/1309.mp4
5370,তুমি ঘুমাও,data/videos/video/5370.mp4
3800,তুমি ঘুমাও,data/videos/video/3800.mp4
1472,সে আনারস খাবে,data/videos/video/1472.mp4
5426,সে আনারস খাবে,data/videos/video/5426.mp4
1547,আমার চাচা বুধবার মাংস খায়,data/videos/video/1547.mp4
1816,আমার বড় ভাই চিড়িয়াখানা যাবে,data/videos/video/1816.mp4
3546,গরমে বারবার পানি পান করবেন,data/videos/video/3546.mp4
5108,গরমে বারবার পানি পান করবেন,data/videos/video/5108.mp4
2812,আমার মা নেপাল যাবে,data/videos/video/2812.mp4
1575,আমার ছেলে বুধবার ভাত খায়,data/videos/video/1575.mp4
1677,আমার বাবা মংগলবার মাংস খায়,data/videos/video/1677.mp4
2682,আমার বাবা এশিয়া যাবে,data/videos/video/2682.mp4
1896,আমার ভাই সাপ দেখেছে,data/videos/video/1896.mp4
5025,আপনাকে আমার ভাল লাগছে.,data/videos/video/5025.mp4
3853,আপনাকে আমার ভাল লাগছে.,data/videos/video/3853.mp4
862,আমরা সবাই দূর্বল,data/videos/video/862.mp4
4710,আমরা সবাই দূর্বল,data/videos/video/4710.mp4
2386,আমার খালাতো বোন নেপাল যাবে,data/videos/video/2386.mp4
4987,ইশারা ভাষা আমাদের সবার শিখা দরকার,data/videos/video/4987.mp4
3529,ইশারা ভাষা আমাদের সবার শিখা দরকার,data/videos/video/3529.mp4
1975,আমার মামা চিড়িয়াখানা যাবে,data/videos/video/1975.mp4
4273,শুভ অপরাহ্ন,data/videos/video/4273.mp4
1460,শুভ অপরাহ্ন,data/videos/video/1460.mp4
3827,শুভ অপরাহ্ন,data/videos/video/3827.mp4
5314,শুভ অপরাহ্ন,data/videos/video/5314.mp4
2978,আমি চীন যাব,data/videos/video/2978.mp4
2721,আমার বোন আফ্রিকা যাবে,data/videos/video/2721.mp4
4039,খাবার ভালো ছিল,data/videos/video/4039.mp4
1216,খাবার ভালো ছিল,data/videos/video/1216.mp4
3959,আমি পুলিশ দেখেছি,data/videos/video/3959.mp4
1132,আমি পুলিশ দেখেছি,data/videos/video/1132.mp4
5266,আমার অনেক রক্ত কম,data/videos/video/5266.mp4
3446,আমার অনেক রক্ত কম,data/videos/video/3446.mp4
2751,আমার বোন শ্রীলঙ্কা যাবে,data/videos/video/2751.mp4
1204,ঐ মেয়েটি আমার বন্ধু,data/videos/video/1204.mp4
4027,ঐ মেয়েটি আমার বন্ধু,data/videos/video/4027.mp4
3213,আমি সেপ্টেম্বরে পাকিস্তান যাব,data/videos/video/3213.mp4
207,আমি জুন মাসে কানাডা যাব,data/videos/video/207.mp4
4342,আমি জুন মাসে কানাডা যাব,data/videos/video/4342.mp4
2640,আমার ফুফু আমি খেতে পছন্দ করে,data/videos/video/2640.mp4
4726,সে বাহিরে যাবে,data/videos/video/4726.mp4
3847,সে বাহিরে যাবে,data/videos/video/3847.mp4
1104,আমি জাম খাবো,data/videos/video/1104.mp4
2820,আমার মা ভুটান যাবে,data/videos/video/2820.mp4
3062,আমি বৃহস্পতিবার এই ঘুরতে যাব,data/videos/video/3062.mp4
2164,গতকাল আমার বোন ডাক্তার দেখিয়েছে,data/videos/video/2164.mp4
3833,সে আমার চাচা,data/videos/video/3833.mp4
5353,সে আমার চাচা,data/videos/video/5353.mp4
4742,আমার বোন জাদুঘরে যাবে,data/videos/video/4742.mp4
3728,আমার বোন জাদুঘরে যাবে,data/videos/video/3728.mp4
206,আমি জুন মাসে এশিয়া যাব,data/videos/video/206.mp4
4359,আমি জুন মাসে এশিয়া যাব,data/videos/video/4359.mp4
1111,আমি তরকারি কাটি,data/videos/video/1111.mp4
3824,ভবিষ্যৎ নিয়ে ভাবো,data/videos/video/3824.mp4
4752,ভবিষ্যৎ নিয়ে ভাবো,data/videos/video/4752.mp4
2086,আমি জানি তুমি কি বলবে,data/videos/video/2086.mp4
828,আপনি কোথায় অফিস করেন,data/videos/video/828.mp4
4674,আপনি কোথায় অফিস করেন,data/videos/video/4674.mp4
4298,আমি জুন মাসে জাপান যাবো,data/videos/video/4298.mp4
208,আমি জুন মাসে জাপান যাবো,data/videos/video/208.mp4
5100,আমার পছন্দের রং লাল,data/videos/video/5100.mp4
3457,আমার পছন্দের রং লাল,data/videos/video/3457.mp4
1900,আমার ভাই সোমবার মাছ খায়,data/videos/video/1900.mp4
2554,আমার চালতা ভালো লাগে,data/videos/video/2554.mp4
2734,আমার বোন চীন যাবে,data/videos/video/2734.mp4
2571,আমার পেপে খেতে ভালো লাগে,data/videos/video/2571.mp4
4586,আমার দোয়েল পছন্দ,data/videos/video/4586.mp4
7,আমার দোয়েল পছন্দ,data/videos/video/7.mp4
2261,মামা সময় অনেক আছে,data/videos/video/2261.mp4
1736,আমার বোন বৃহস্পতিবার ভাত খায়,data/videos/video/1736.mp4
4814,সোয়েটার পড়লে আমাকে সুন্দর দেখা যায়,data/videos/video/4814.mp4
3378,সোয়েটার পড়লে আমাকে সুন্দর দেখা যায়,data/videos/video/3378.mp4
3107,আমি মঙ্গলবারে রোজা রাখি,data/videos/video/3107.mp4
2488,আমার চাচাতো বোন এশিয়া যাবে,data/videos/video/2488.mp4
4166,দয়া করে,data/videos/video/4166.mp4
1346,দয়া করে,data/videos/video/1346.mp4
3887,দয়া করে,data/videos/video/3887.mp4
5113,দয়া করে,data/videos/video/5113.mp4
1048,আমি আমার প্রতিবেশীর কাছে যাবো,data/videos/video/1048.mp4
2921,আমার মামীর ফুলকপি খেতে ভালো লাগে,data/videos/video/2921.mp4
1530,আগে ভালো পরে কাজ করো,data/videos/video/1530.mp4
1021,আমার রুটিন দেখেছি,data/videos/video/1021.mp4
2029,আমার স্ত্রী সোমবার মাংস খায়,data/videos/video/2029.mp4
2624,আমার ফুফাতো ভাই এশিয়া যাবে,data/videos/video/2624.mp4
5333,এখন কয়টা বাজে,data/videos/video/5333.mp4
3774,এখন কয়টা বাজে,data/videos/video/3774.mp4
2882,আমার মামাতো ভাই কানাডা যাবে,data/videos/video/2882.mp4
2442,আমার খালু রান্না খেতে মজা,data/videos/video/2442.mp4
281,আমি মার্চ মাসে সৌদি আরব যাব,data/videos/video/281.mp4
4318,আমি মার্চ মাসে সৌদি আরব যাব,data/videos/video/4318.mp4
1045,আমি আনারস খাবো,data/videos/video/1045.mp4
4140,তোমার জন্মদিন ২২ মার্চ,data/videos/video/4140.mp4
1318,তোমার জন্মদিন ২২ মার্চ,data/videos/video/1318.mp4
3603,প্রতিদিন অদা লেবুর চা খাবেন,data/videos/video/3603.mp4
4917,প্রতিদিন অদা লেবুর চা খাবেন,data/videos/video/4917.mp4
4956,"রাতে তুমি আলু ভর্তা, ডাল রান্না করবে",data/videos/video/4956.mp4
3640,"রাতে তুমি আলু ভর্তা, ডাল রান্না করবে",data/videos/video/3640.mp4
1952,আমার মা যুদ্ধ বিমান দেখেছে,data/videos/video/1952.mp4
980,আমার বড় ভাই  সুন্দর দেখতে,data/videos/video/980.mp4
2476,আমার চাচা মালদ্বীপ যাবে,data/videos/video/2476.mp4
1580,আমার ছেলে বৃহস্পতিবার মাংস খায়,data/videos/video/1580.mp4
5396,তোমার প্রিয় রং কি,data/videos/video/5396.mp4
3804,তোমার প্রিয় রং কি,data/videos/video/3804.mp4
4600,আমার মায়ের দোয়েল পছন্দ,data/videos/video/4600.mp4
141,আমার মায়ের দোয়েল পছন্দ,data/videos/video/141.mp4
1763,আমার বোন সোমবার ভাত খায়,data/videos/video/1763.mp4
2641,আমার ফুফু আমেরিকা যাবে,data/videos/video/2641.mp4
2518,আমার চাচাতো ভাই ভার্সিটিতে যাবে,data/videos/video/2518.mp4
939,আমার ফুফা ভালো,data/videos/video/939.mp4
118,আমার মামা মহাদেশে ঘুরতে যাবে,data/videos/video/118.mp4
4491,আমার মামা মহাদেশে ঘুরতে যাবে,data/videos/video/4491.mp4
2434,আমার খালু পেয়ারা খেতে পছন্দ করে,data/videos/video/2434.mp4
2572,আমার পেয়ারা ভালো লাগে,data/videos/video/2572.mp4
5078,মুরগির মঙ্গশো আমার খুব পোচোন্দো,data/videos/video/5078.mp4
3939,মুরগির মঙ্গশো আমার খুব পোচোন্দো,data/videos/video/3939.mp4
5338,তুমি কবে বাড়ি যাবে,data/videos/video/5338.mp4
3797,তুমি কবে বাড়ি যাবে,data/videos/video/3797.mp4
1192,এই বিষয় পরীক্ষা কেমন হয়েছে,data/videos/video/1192.mp4
4016,এই বিষয় পরীক্ষা কেমন হয়েছে,data/videos/video/4016.mp4
5235,তোমার খালা কোথায় কাজ করে,data/videos/video/5235.mp4
3294,তোমার খালা কোথায় কাজ করে,data/videos/video/3294.mp4
4494,তুমি সমুদ্র দেখতে যাবে,data/videos/video/4494.mp4
325,তুমি সমুদ্র দেখতে যাবে,data/videos/video/325.mp4
3241,আমি সোমবারে রাশিয়া যাব,data/videos/video/3241.mp4
4811,আমি সোমবারে রাশিয়া যাব,data/videos/video/4811.mp4
4929,আমার মেকআপ করা পছন্দ,data/videos/video/4929.mp4
3473,আমার মেকআপ করা পছন্দ,data/videos/video/3473.mp4
4890,লাল একটি ব্যান্ড আছে,data/videos/video/4890.mp4
3647,লাল একটি ব্যান্ড আছে,data/videos/video/3647.mp4
1848,আমার ভাই কচ্ছপ দেখে নাই,data/videos/video/1848.mp4
3072,আমি বৃহস্পতিবারে নেপাল যাব,data/videos/video/3072.mp4
4812,মজা পড়লে আমাকে সুন্দর দেখা যায়,data/videos/video/4812.mp4
3360,মজা পড়লে আমাকে সুন্দর দেখা যায়,data/videos/video/3360.mp4
2638,আমার ফুফু অস্ট্রেলিয়া যাবে,data/videos/video/2638.mp4
1761,আমার বোন সাপ দেখেনি,data/videos/video/1761.mp4
249,আমি নভেম্বরে কানাডা যাব,data/videos/video/249.mp4
4350,আমি নভেম্বরে কানাডা যাব,data/videos/video/4350.mp4
4117,তুমি লাল শাক খাবে,data/videos/video/4117.mp4
1294,তুমি লাল শাক খাবে,data/videos/video/1294.mp4
3765,আমি তোমাকে দেখছি,data/videos/video/3765.mp4
5373,আমি তোমাকে দেখছি,data/videos/video/5373.mp4
2584,আমার ফুফা কানাডা যাবে,data/videos/video/2584.mp4
2354,আমার খালা ইউরোপ যাবে,data/videos/video/2354.mp4
2157,আমি ২ মাস পর দেখবো,data/videos/video/2157.mp4
1947,আমার মা মংগলবার ভাত খায়,data/videos/video/1947.mp4
2700,আমার বাবা বিদেশ যাবে,data/videos/video/2700.mp4
1439,মামী বুধবার দুধ খায়,data/videos/video/1439.mp4
4616,মামী বুধবার দুধ খায়,data/videos/video/4616.mp4
2284,শুক্রবার আমি ভাত খাবো,data/videos/video/2284.mp4
1004,আমার মা খুব ভালো,data/videos/video/1004.mp4
1432,মা বিরতি নিছে,data/videos/video/1432.mp4
4253,মা বিরতি নিছে,data/videos/video/4253.mp4
1041,আমি অফিসে যাবো,data/videos/video/1041.mp4
2923,আমার মায়ের রান্না খেতে মজা,data/videos/video/2923.mp4
4692,আমরা চিনি খাবো না,data/videos/video/4692.mp4
844,আমরা চিনি খাবো না,data/videos/video/844.mp4
2363,আমার খালা পাকিস্তান যাবে,data/videos/video/2363.mp4
2990,আমি জুলাই ভুটান যাব,data/videos/video/2990.mp4
3016,আমি ফেব্রুয়ারিতে নেপাল যাব,data/videos/video/3016.mp4
3840,সে আমার মামা,data/videos/video/3840.mp4
5354,সে আমার মামা,data/videos/video/5354.mp4
2112,আমি বিড়াল দেখেছি,data/videos/video/2112.mp4
4517,আমার মা বনে যাবে,data/videos/video/4517.mp4
103,আমার মা বনে যাবে,data/videos/video/103.mp4
944,আমার বন্ধু ঘুমায়,data/videos/video/944.mp4
2308,২ বছর পর দেখা হলো,data/videos/video/2308.mp4
5407,সে একজন ডাক্তার,data/videos/video/5407.mp4
3846,সে একজন ডাক্তার,data/videos/video/3846.mp4
2541,আমার চাচি ফুটবল খেলা পছন্দ করে,data/videos/video/2541.mp4
1969,আমার মা সোমবার মাছ খায়,data/videos/video/1969.mp4
3075,আমি বৃহস্পতিবারে মসজিদে যাব,data/videos/video/3075.mp4
3956,আমি পরীক্ষা ফেল করছি,data/videos/video/3956.mp4
1128,আমি পরীক্ষা ফেল করছি,data/videos/video/1128.mp4
2115,আমি বুধবার ভাত খাবো,data/videos/video/2115.mp4
4582,আমার মামার মুরগি ভালো লাগে,data/videos/video/4582.mp4
133,আমার মামার মুরগি ভালো লাগে,data/videos/video/133.mp4
945,আমার বন্ধু তোকি ভালো গান করে,data/videos/video/945.mp4
1509,১২ মে আমার জন্মদিন,data/videos/video/1509.mp4
1510,১২ মে আমার জন্মদিন,data/videos/video/1510.mp4
5417,১২ মে আমার জন্মদিন,data/videos/video/5417.mp4
1060,আমি একজন প্রতিবন্ধী,data/videos/video/1060.mp4
921,আমার পরিবারের সাথে দেখা হয়েছে,data/videos/video/921.mp4
911,আমার ননদ ভালো,data/videos/video/911.mp4
1784,আমার বড় বোন টিয়া পাখি দেখেছে,data/videos/video/1784.mp4
3420,২২ নভেম্বর আমার জন্মদিন,data/videos/video/3420.mp4
1514,২২ নভেম্বর আমার জন্মদিন,data/videos/video/1514.mp4
5307,২২ নভেম্বর আমার জন্মদিন,data/videos/video/5307.mp4
5421,২২ নভেম্বর আমার জন্মদিন,data/videos/video/5421.mp4
4672,আপনার সাহায্য জন্য ধন্যবাদ,data/videos/video/4672.mp4
824,আপনার সাহায্য জন্য ধন্যবাদ,data/videos/video/824.mp4
3534,করোনা ভাইরাস কিভাবে ছড়ায়,data/videos/video/3534.mp4
4911,করোনা ভাইরাস কিভাবে ছড়ায়,data/videos/video/4911.mp4
2589,আমার ফুফা পাকিস্তান যাবে,data/videos/video/2589.mp4
846,আমরা দূর্বল সবাই,data/videos/video/846.mp4
4694,আমরা দূর্বল সবাই,data/videos/video/4694.mp4
1311,তোমার জন্মদিন ১২ জুলাই,data/videos/video/1311.mp4
4133,তোমার জন্মদিন ১২ জুলাই,data/videos/video/4133.mp4
3305,তোমার চাচাতো ভাইয়ের নাম কি,data/videos/video/3305.mp4
5218,তোমার চাচাতো ভাইয়ের নাম কি,data/videos/video/5218.mp4
1402,বড় ভাই নোটিশ দেখেছে,data/videos/video/1402.mp4
4179,বড় ভাই নোটিশ দেখেছে,data/videos/video/4179.mp4
1025,আমার স্ত্রী অনেক ভালো,data/videos/video/1025.mp4
2375,আমার খালা শ্রীলংকা যাবে,data/videos/video/2375.mp4
2349,আমার খালা অস্ট্রেলিয়া যাবে,data/videos/video/2349.mp4
1394,বোন সনদপত্র দেখবে,data/videos/video/1394.mp4
4224,বোন সনদপত্র দেখবে,data/videos/video/4224.mp4
1446,মামী বৃহস্পতিবার মাছ খায়,data/videos/video/1446.mp4
4621,মামী বৃহস্পতিবার মাছ খায়,data/videos/video/4621.mp4
905,আমার দাদা ভালো,data/videos/video/905.mp4
1871,আমার ভাই বৃহস্পতিবার ভাত খায়,data/videos/video/1871.mp4
2496,আমার চাচাতো বোন ভারত যাবে,data/videos/video/2496.mp4
2189,তুমি বুধবার মাছ খাবে,data/videos/video/2189.mp4
1598,আমার ছেলে সোমবার দুধ খায়,data/videos/video/1598.mp4
294,আমি মে মাসে সৌদি আরব যাব,data/videos/video/294.mp4
4316,আমি মে মাসে সৌদি আরব যাব,data/videos/video/4316.mp4
4241,ভাষা কেমন,data/videos/video/4241.mp4
1420,ভাষা কেমন,data/videos/video/1420.mp4
190,আমি জমিতে যাব,data/videos/video/190.mp4
4440,আমি জমিতে যাব,data/videos/video/4440.mp4
4292,আমি সেপ্টেম্বরে শ্রীলঙ্কা যাব,data/videos/video/4292.mp4
308,আমি সেপ্টেম্বরে শ্রীলঙ্কা যাব,data/videos/video/308.mp4
2752,আমার বোন সুন্দর,data/videos/video/2752.mp4
1329,তোমার প্রফেশন প্রকৌশলী,data/videos/video/1329.mp4
4151,তোমার প্রফেশন প্রকৌশলী,data/videos/video/4151.mp4
284,আমি মে মাসে অস্ট্রেলিয়া যাব,data/videos/video/284.mp4
