sentence,video_count
আমার মা তেলাপোকা দেখেছে,3
আমার মা মুরগি দেখে নাই,3
আমার মা মুরগি দেখেছে,3
আমি টিয়া পাখি দেখি নাই,3
আমি বাঘ দেখি নাই,3
আমি বাঘ দেখেছি,3
আপনি কেমন আছেন,3
আমার বাবা একজন শিক্ষক,3
আমি এপ্রিল মাসে আফ্রিকা যাব,2
আমরা পাখি পছন্দ,2
আমার কাক পছন্দ না,2
আমার কুকুর ভালো লাগে,2
আমার গরু ভালো লাগে,2
আমার ঘোড়া ভাল লাগে,2
আমার ছাগল ভালো লাগে,2
আমার দোয়েল পছন্দ,2
আমার পাহাড় দেখতে ভালো লাগে,2
আমার পৃথিবী দেখতে ভালো লাগে,2
আমার বাঘ ভয় করে,2
আমার বাবা উত্তর দিকে যাবে,2
আমার বাবা ক্ষেত এ যাবে,2
আমার বাবা জমিতে যাবে,2
আমার বাবা দক্ষিণ দিকে যাবে,2
আমার বাবা দীপ দেখতে যাবে,2
আমার বাবা পশ্চিম দিকে যাবে,2
আমার বাবা পূর্ব দিকে যাবে,2
আমার বাবা বনে যাবে,2
আমার বাবা মরুভূমিতে যাবে,2
আমার বাবা মহাদেশে ঘুরতে যাবে,2
আমার বাবা মহাসাগর দেখতে যাবে,2
আমার বাবা সমুদ্র দেখতে যাবে,2
আমার বাবার কাক  পছন্দ না,2
আমার বাবার কুকুর ভালো লাগে,2
আমার বাবার গরু ভালো লাগে,2
আমার বাবার ঘোরা ভালো লাগে,2
আমার বাবার ছাগল ভালো লাগে,2
আমার বাবার দোয়েল পছন্দ,2
আমার বাবার পাখি পছন্দ,2
আমার বাবার পাহাড় দেখতে ভালো লাগে,2
আমার বাবার পৃথিবী দেখতে ভালো লাগে,2
আমার বাবার বাঘ ভয় করে,2
আমার বাবার বিচার ভালো লাগে,2
আমার বাবার ভূমিকম্প ভয় করে,2
আমার বাবার মানচিত্র দেখতে ভালো লাগে,2
আমার বাবার মুরগী ভালো লাগে,2
আমার বাবার সাপ ভয় লাগে,2
আমার বাবার হাস ভালো,2
আমার বিড়াল ভালো লাগে,2
আমার বোন উত্তর দিকে যাবে,2
আমার বোন ক্ষেত এ যাবে,2
আমার বোন জমিতে যাবে,2
আমার বোন দক্ষিণ দিকে যাবে,2
আমার বোন দীপ দেখতে যাবে,2
আমার বোন পশ্চিম দিকে যাবে,2
আমার বোন বনে যাব,2
আমার বোন মরুভূমিতে যাবে,2
আমার বোন মহাদেশে ঘুরতে যাবে,2
আমার বোন মহাসাগর দেখতে যাবে,2
আমার বোন সমুদ্র দেখতে যাবে,2
আমার বোনপূর্ব দিকে যাবে,2
আমার বোনের কাক পছন্দ না,2
আমার বোনের কুকুর ভালো লাগে,2
আমার বোনের গরু ভালো লাগে,2
আমার বোনের ঘোড়া ভালো লাগে,2
আমার বোনের ছাগল ভালো লাগে,2
আমার বোনের দোয়েল পছন্দ,2
আমার বোনের পাখি পছন্দ,2
আমার বোনের পাহাড় দেখতে ভালো লাগে,2
আমার বোনের পৃথিবী দেখতে ভালো লাগে,2
আমার বোনের বাঘ ভয় করে,2
আমার বোনের বিড়াল ভালো লাগে,2
আমার বোনের মানচিত্র দেখতে ভালো লাগে,2
আমার বোনের মুরগি ভালো লাগে,2
আমার বোনের সব ভয় লাগে,2
আমার বোনের হাঁস ভালো লাগে,2
আমার ভাই উত্তর দিকে যাবে,2
আমার ভাই ক্ষেত এ যাবে,2
আমার ভাই জমিতে যাবে,2
আমার ভাই দক্ষিণ দিকে যাবে,2
আমার ভাই দিক দেখতে যাবে,2
আমার ভাই পশ্চিম দিকে যাবে,2
আমার ভাই পূর্ব দিকে যাবে,2
আমার ভাই মরুভূমিতে যাবে,2
আমার ভাই মহাদেশে ঘুরতে যাবে,2
আমার ভাই মহাসাগর দেখতে যাব,2
আমার ভাই সমুদ্র দেখে যাবে।,2
আমার ভাইবোনে যাবে,2
আমার ভাইয়ের কাক পছন্দ না,2
আমার ভাইয়ের কুকুর ভালো লাগে,2
আমার ভাইয়ের গরু ভালো লাগে,2
আমার ভাইয়ের ঘোরা ভাল লাগে,2
আমার ভাইয়ের ছাগল ভালো লাগে,2
আমার ভাইয়ের দোয়েল পছন্দ,2
আমার ভাইয়ের পাখি পছন্দ,2
আমার ভাইয়ের পার দেখতে ভালো লাগে,2
আমার ভাইয়ের পৃথিবী দেখতে ভালো লাগে,2
আমার ভাইয়ের বাঘ ভয় করে,2
আমার ভাইয়ের বিড়াল  ভালো লাগে,2
আমার ভাইয়ের মানচিত্র দেখতে ভালো লাগে,2
আমার ভাইয়ের মুরগি ভালো লাগে,2
আমার ভাইয়ের সাপ ভয় লাগে,2
আমার ভাইয়ের হাস ভালো লাগে,2
আমার ভূমিকম্প ভয় করে,2
আমার মা উত্তর দিকে যাবে,2
আমার মা এর বিড়াল ভালো লাগে,2
আমার মা ক্ষেত এ যাবে,2
আমার মা জমিতে যাবে,2
আমার মা দক্ষিণ দিকে যাবে,2
আমার মা দ্বীপ দেখতে যাবে,2
আমার মা পশ্চিম দিকে যাবে,2
আমার মা পূর্ব দিকে যাবে,2
আমার মা বনে যাবে,2
আমার মা মরুভূমিতে যাবে,2
আমার মা মহাদেশে ঘুরতে যাবে,2
আমার মা মহাসাগর দেখতে যাবে,2
আমার মা সমুদ্র দেখতে যাবে,2
আমার মানচিত্র দেখতে ভালো লাগে,2
আমার মামা উত্তর দিকে যাবে,2
আমার মামা ক্ষেত এ যাবে,2
আমার মামা জমিতে যাবে,2
আমার মামা দক্ষিণ দিকে যাবে,2
আমার মামা দ্বীপ  দেখতে যাবে,2
আমার মামা পশ্চিম দিকে যাবে,2
আমার মামা পূর্ব দিকে যাবে,2
আমার মামা বনে যাবে,2
আমার মামা মরুভূমিতে যাবে,2
আমার মামা মহাদেশে ঘুরতে যাবে,2
আমার মামা মহাসাগর দেখতে যাবে,2
আমার মামার কাক পছন্দ না,2
আমার মামার কুকুর ভালো লাগে,2
আমার মামার গরু ভালো লাগে,2
আমার মামার ঘোড়া ভাল লাগে,2
আমার মামার ছাগল ভালো লাগে,2
আমার মামার দোয়েল পছন্দ,2
আমার মামার পাখি পছন্দ,2
আমার মামার পাহাড় দেখতে ভালো লাগে,2
আমার মামার পৃথিবী দেখতে ভালো লাগে,2
আমার মামার বাঘ ভয় করে,2
আমার মামার বিড়াল ভালো লাগে,2
আমার মামার ভূমিকম্প ভয় করে,2
আমার মামার মানচিত্র দেখতে ভালো লাগে,2
আমার মামার মুরগি ভালো লাগে,2
আমার মামার সাপ ভয় লাগে,2
আমার মামার হাস ভালো লাগে,2
আমার মায়ের কাক পছন্দ না,2
আমার মায়ের কুকুর ভালো লাগে,2
আমার মায়ের গরু  ভালো লাগে,2
আমার মায়ের ঘোরা ভালো লাগে,2
আমার মায়ের ছাগল ভালো লাগে,2
আমার মায়ের দোয়েল পছন্দ,2
আমার মায়ের পাখি পছন্দ,2
আমার মায়ের পাহাড় দেখতে ভালো লাগে,2
আমার মায়ের বাঘ ভয় করে,2
আমার মায়ের মানচিত্র দেখতে ভালো লাগে,2
আমার মায়ের মুরগি ভালো লাগে,2
আমার মায়ের সাপ ভয় লাগে,2
আমার মায়ের হাস ভালো লাগ,2
আমার মার পৃথিবী দেখতে ভালো লাগে,2
আমার সাপ ভয় লাগে,2
আমার হাঁস ভালো লাগে,2
আমি অক্টোবর আফ্রিকা যাব,2
আমি অক্টোবর বিদেশ যাব,2
আমি অক্টোবর রাশিয়া যাব,2
আমি অক্টোবর শ্রীলঙ্কা যাব,2
আমি অক্টোবর সৌদি আরব যাব,2
আমি অক্টোবরে অস্ট্রেলিয়া যাব,2
আমি অক্টোবরে আমেরিকা যাবো,2
আমি অক্টোবরে ইংল্যান্ড যাব,2
আমি অক্টোবরে ইউরোপ যাব,2
আমি অক্টোবরে এশিয়া যাব,2
আমি অক্টোবরে কানাডা যাব,2
আমি অক্টোবরে জাপান যাবো,2
আমি অক্টোবরের চীন যাব,2
আমি আগস্ট আফ্রিকা যাব,2
আমি আগস্ট বিদেশ যাব,2
আমি আগস্ট মাসে আমেরিকা যাবো,2
আমি আগস্ট মাসে ইউরোপ যাব,2
আমি আগস্ট মাসে সৌদি রব যাব,2
আমি আগস্টে অস্ট্রেলিয়া যাব,2
আমি আগস্টে ইংল্যান্ড যাব,2
আমি আগস্টে এশিয়া যাব,2
আমি আগস্টে চীন যাব,2
আমি আগস্টে জাপান যাবো,2
আমি আগস্টের শ্রীলঙ্কায় যাবো,2
আমি আমেরিকা যাবো জানুয়ারিতে,2
আমি উত্তর দিকে যাব,2
আমি এপ্রিল মাসে আমেরিকা যাবো,2
আমি এপ্রিল মাসে ইংল্যান্ড যাব,2
আমি এপ্রিল মাসে ইউরোপ যাব,2
আমি এপ্রিল মাসে কানাডা যাব,2
আমি এপ্রিল মাসে চীন যাবো,2
আমি এপ্রিল মাসে জাপান যাবো,2
আমি এপ্রিলে অস্ট্রেলিয়া যাব,2
আমি এপ্রিলে বিদেশ যাব,2
আমি এপ্রিলে রাশিয়া যাব,2
আমি এপ্রিলে সৌদি আরব যাব,2
আমি ক্ষেত এ যাব,2
আমি জমিতে যাব,2
আমি জানুয়ারিতে অস্ট্রেলিয়া যাব,2
আমি জানুয়ারিতে আফ্রিকা যাব,2
আমি জানুয়ারিতে ইংল্যান্ড যাব,2
আমি জানুয়ারিতে ইউরোপ যাব,2
আমি জানুয়ারিতে এশিয়া যাব,2
আমি জানুয়ারিতে কানাডা যাব,2
আমি জানুয়ারিতে চীন যাব,2
আমি জানুয়ারিতে জাপান যাবো,2
আমি জানুয়ারিতে বিদেশ যাবো,2
আমি জানুয়ারিতে রাশিয়া যাব,2
আমি জানুয়ারিতে সৈদি আরব যাব,2
আমি জুন মাসে অস্ট্রেলিয়া যাব,2
আমি জুন মাসে আমেরিকা যাবো,2
আমি জুন মাসে ইংল্যান্ড যাবো,2
আমি জুন মাসে ইউরোপ যাব,2
আমি জুন মাসে এশিয়া যাব,2
আমি জুন মাসে কানাডা যাব,2
আমি জুন মাসে জাপান যাবো,2
আমি জুন মাসে বিদেশ যাবো,2
আমি জুন মাসে রাশিয়া যাব,2
আমি জুন মাসে সৌদি আরব যাব,2
আমি জুনে আফ্রিকা যাব,2
আমি জুনে চীন যাব,2
আমি জুলাই মাসে অস্ট্রেলিয়া যাব,2
আমি জুলাই মাসে আমেরিকা যাবো,2
আমি জুলাই মাসে ইউরোপ যাব,2
আমি জুলাই মাসে এশিয়া যাব,2
আমি জুলাই মাসে কানাডা যাব,2
আমি জুলাই মাসে বিদেশ যাবো,2
আমি জুলাই মাসে রাশিয়া যাব,2
আমি জুলাই শ্রীলংকা যাব,2
আমি জুলাইয়ে আফ্রিকা যাব,2
আমি জুলাইয়ে ইংল্যান্ড যাব,2
আমি জুলাইয়ে জাপান যাবো,2
আমি জুলাইয়ে সৌদি আরব যাব,2
আমি জুলাইয়ের চীন যাব,2
আমি ডিসেম্বর অস্ট্রেলিয়া যাব,2
আমি ডিসেম্বর আফ্রিকা যাব,2
আমি ডিসেম্বর ইউরোপ যাব,2
আমি ডিসেম্বরে আমেরিকা যাবো,2
আমি ডিসেম্বরে ইংল্যান্ড যাব,2
আমি ডিসেম্বরে এশিয়া যাব,2
আমি ডিসেম্বরে কানাডা যাব,2
আমি ডিসেম্বরে চীন যাবো,2
আমি ডিসেম্বরে জাপান যাবো,2
আমি ডিসেম্বরে বিদেশ যাব,2
আমি ডিসেম্বরে সৌদিআরব যাব,2
আমি ডিসেম্বরের রাশিয়া যাবো,2
আমি ডিসেম্বরের শ্রীলঙ্কা যাব,2
আমি দক্ষিণ দিকে যাব,2
আমি দ্বীপ দেখতে যাব,2
আমি নভেম্বর আফ্রিকা যাব,2
আমি নভেম্বর ইংল্যান্ডে যাব,2
আমি নভেম্বর ইউরোপ যাব,2
আমি নভেম্বর এশিয়া যাব,2
আমি নভেম্বর বিদেশ যাব,2
আমি নভেম্বরে অস্ট্রেলিয়া যাব,2
আমি নভেম্বরে আমেরিকা যাবো,2
আমি নভেম্বরে কানাডা যাব,2
আমি নভেম্বরে চীন যাব,2
আমি নভেম্বরে জাপান যাবো,2
আমি নভেম্বরে রাশিয়া যাব,2
আমি নভেম্বরে শ্রীলঙ্কায় যাবো,2
আমি নভেম্বরে সৌদিআরব যাব,2
আমি পশ্চিম দিকে যাব,2
আমি পূর্ব দিকে যাব,2
আমি ফেব্রুয়ারিতে অস্ট্রেলিয়া যাব,2
আমি ফেব্রুয়ারিতে আফ্রিকা যাব,2
আমি ফেব্রুয়ারিতে আমেরিকা যাব,2
আমি ফেব্রুয়ারিতে ইংল্যান্ড যাব,2
আমি ফেব্রুয়ারিতে ইউরোপ যাব,2
আমি ফেব্রুয়ারিতে এশিয়া যাব,2
আমি ফেব্রুয়ারিতে কানাডা যাব,2
আমি ফেব্রুয়ারিতে চিন যাবো,2
আমি ফেব্রুয়ারিতে জাপান যাবো,2
আমি ফেব্রুয়ারিতে বিদেশ যাব,2
আমি ফেব্রুয়ারিতে রাশিয়া যাব,2
আমি ফেব্রুয়ারিতে সৌদি আরব যাব,2
আমি বনে যাব,2
আমি মরুভূমিতে যাব,2
আমি মহাদেশে ঘুরতে যাব,2
আমি মহাসাগর দেখতে যাব,2
আমি মার্চ মাসে অস্ট্রেলিয়া যাব,2
আমি মার্চ মাসে আমেরিকা যাবো,2
আমি মার্চ মাসে ইংল্যান্ডে যাবো,2
আমি মার্চ মাসে এশিয়া যাব,2
আমি মার্চ মাসে কানাডায় যাব,2
আমি মার্চ মাসে চিন যাবো,2
আমি মার্চ মাসে জাপান যাবো,2
আমি মার্চ মাসে বিদেশ যাবো,2
আমি মার্চ মাসে সৌদি আরব যাব,2
আমি মার্চ মাসেই ইউরোপ যাব,2
আমি মার্চ মাসের রাশিয়া যাব,2
আমি মে মাসে অস্ট্রেলিয়া যাব,2
আমি মে মাসে আফ্রিকা যাব,2
আমি মে মাসে আমেরিকা যাবো,2
আমি মে মাসে ইংল্যান্ড যাব,2
আমি মে মাসে ইউরোপ যাব,2
আমি মে মাসে কানাডা যাব,2
আমি মে মাসে চীন যাব,2
আমি মে মাসে জাপান যাবো,2
আমি মে মাসে বিদেশ যাবো,2
আমি মে মাসে রাশিয়া যাব,2
আমি মে মাসে সৌদি আরব যাব,2
আমি মে মাসের এশিয়া যাব,2
আমি সমুদ্র দেখতে যাব,2
আমি সেপ্টেম্বর ইংল্যান্ড যাব,2
আমি সেপ্টেম্বর জাপান যাবো,2
আমি সেপ্টেম্বর মাসে আমেরিকা যাবো,2
আমি সেপ্টেম্বরে অস্ট্রেলিয়া যাব,2
আমি সেপ্টেম্বরে আফ্রিকা যাব,2
আমি সেপ্টেম্বরে ইউরোপ যাব,2
আমি সেপ্টেম্বরে এশিয়া যাব,2
আমি সেপ্টেম্বরে কানাডা যাব,2
আমি সেপ্টেম্বরে চিন যাবো,2
আমি সেপ্টেম্বরে বিদেশ যাব,2
আমি সেপ্টেম্বরে রাশিয়া যাব,2
আমি সেপ্টেম্বরে শ্রীলঙ্কা যাব,2
আমি সেপ্টেম্বরে সৌদিআরব যাব,2
আমিন মার্চ মাসে আফ্রিকা যাব,2
এপ্রিল মাসে এশিয়া যাব আমি,2
গেঞ্জি পড়লে তোমাকে সুন্দর দেখা যাবে,2
গেঞ্জি পরলে আমাকে সুন্দর দেখা যায়,2
তুমি উত্তর দিকে যাবা,2
তুমি ক্ষেত এ যাবা,2
তুমি জমিতে যাবে,2
তুমি দক্ষিণ দিকে যাবা,2
তুমি দ্বীপ দেখতে যাবে,2
তুমি পশ্চিম দিকে যাবা,2
তুমি পূর্ব দিকে যাবা,2
তুমি বনে যাবা,2
তুমি মরুভূমিতে যাবা,2
তুমি মহাদেশে ঘুরতে যাবে,2
তুমি মহাসাগর দেখতে যাবে,2
তুমি সমুদ্র দেখতে যাবে,2
তোমার পৃথিবী দেখতে ভালো লাগে,2
তোমার পাহাড় দেখতে ভালো লাগে,2
তোমার ভূমিকম্প ভয় করে,2
তোমার মানচিত্র দেখতে ভালো লাগে,2
তোমার মামা সমুদ্র দেখতে যাবে,2
শার্ট পড়লে তোমাকে সুন্দর দেখা যায়,2
শার্ট পরে আমাকে সুন্দর দেখা যায়,2
অই শিশু আমার,2
অতীত ভাবি না,2
অতীতে কি ভাবছো,2
অতীতে তুমি কি ভাবছো,2
অনেক দিন বাচার আগ্রহ আছে,2
অফসে তোমার কাজ কি,2
অফিসে আমি কেন যাবো,2
অফিসে কাজ কি করো,2
অসৎ সাংবাদিক দের তথ্যে আমরা ভুল বুঝি,2
আই লাভ উ,2
আই লাভ বাংলা ভাষা,2
আই লাভ বাংলা,2
আজ আমার জন্মদিন,2
আজকে বন্ধু দিবস,2
আজকে বুধবার,2
আজকে বৃহস্পতিবার,2
আজকে মংগলবার আমার জন্মদিন,2
আজকে মংগলবার,2
আজকে রবিবার আমার জন্মদিন,2
আজকে রবিবার,2
আজকে শনিবার আমার জন্মদিন,2
আজকে শনিবার,2
আজকে শুক্রবার আমার জন্মদিন,2
আজকে শুক্রবার,2
আজকে সোমবার,2
আজকে ১ আগষ্ট,2
আজকের দিনটা অনেক সুন্দর,2
আপনাকে আমার ভালো লেগেছে,2
আপনাকে কীভাবে সহযোগীতা করতে পারি,2
আপনাকে সাহায্য করবো,2
আপনার কাজ অনেক ভালো,2
আপনার জন্মদিন কবে,2
আপনার জামাটা সুন্দর,2
আপনার পেশা কি,2
আপনার সাহায্য জন্য ধন্যবাদ,2
আপনি কাজ কি,2
আপনি কি কাজ করেন।,2
আপনি কেমন আছেন...,2
আপনি কোথায় অফিস করেন,2
আপনি কোথায় থাকেন,2
আপনি দেখতে অনেক সুন্দর,2
আপনি ভালো থাকবেন ওকে,2
আপনি ভালো থাকবেন...,2
আপনিও অনেক ভালো আছেন,2
আমরা অনেক দূর্বল,2
আমরা আনারস খাবো,2
আমরা আম খাবো,2
আমরা আলু খাবো,2
আমরা কফি খাবো,2
আমরা কলা খাবো,2
আমরা চা খাবো,2
আমরা চিনি খাবো না,2
আমরা ডিম খাবো,2
আমরা দূর্বল সবাই,2
আমরা দূর্বল,2
আমরা মাংস খাবো,2
আমরা মানবাধিকারের জন্য স্বাক্ষর করি,2
আমরা রসুন খাবো,2
আমরা শাক খাবো,2
আমরা সবজি খাবো,2
আমরা সবাই আম খাবো,2
আমরা সবাই আলু খাবো,2
আমরা সবাই কাঠাল খাবো,2
আমরা সবাই কোলড্রিংস খাবো,2
আমরা সবাই চা খাবো,2
আমরা সবাই চিনি খাবো না,2
আমরা সবাই জাম খাবো,2
আমরা সবাই ডাল খাবো,2
আমরা সবাই ডিম খাবো,2
আমরা সবাই দূর্বল,2
আমরা সবাই পেয়াজ খাবে,2
আমরা সবাই লবন খাবো না,2
আমরা সবাই শাখ খাবো,2
আমরা সবাই সবজি খাবো,2
আমাকে ভাড়া দিন,2
আমার অনেক কাশি হয়েছে,2
আমার অনেক জর,2
আমার অনেক শর্দি হয়েছে,2
আমার অফিসার আছে,2
আমার আংকেল ভালো,2
আমার আত্মিয় ভালো,2
আমার আরো অনেক লাগবে,2
আমার ইগো আছে,2
আমার কাজ অনেক ভালো,2
আমার চাচী অনেক ভালো,2
আমার পছন্দের ঋতু শীতকাল,2
আমি জানি না ওটা কত ইঞ্চি,2
আমি জানি না ওটা কত কি.মি. দূরুত্ব,2
আমি জানি না ওটা কত কি.মি.,2
আমি তোমাকে দেখে নিবো,2
আমি তোমার সাথে দেখা করতে চাই,2
আমি নোটিশ দেখেছি,2
আমি পরিবার দেখছি,2
আমি পরীক্ষা ফেল করছি,2
আমি পরীক্ষায় পাশ করছি,2
আমি পরে দেখবো তোমাকে,2
আমি পান করবো,2
আমি পুলিশ দেখেছি,2
আমি পুলিশের সাথে কথা বলি,2
আমি পেন্সিল দিয়ে লেখি এরপর রাবার দিয়ে লিখি,2
আমি পড়া লেখা করি,2
আমি পড়ি,2
আমি ফল খাবো,2
আমি বই পড়বো,2
আমি বন্ধুদের সাথে দেখা করবো,2
আমি বর্ডারগার্ড দেখেছি,2
আমি বসবো,2
আমি বাংলা বই পড়ি,2
আমি বাইক পেয়েছি,2
আমি বাক্য লিখি,2
আমি বাজার থেকে ফিরছি ক্লান্ত,2
আমি বাজার থেকে ফিরছি,2
আমি বাজারে যাচ্ছি,2
আমি বিজিবি দেখেছি,2
আমি বিজ্ঞান পড়ি,2
আমি বিজ্ঞান ভাবি,2
আমি বিজ্ঞান সম্পর্কে জানি,2
আমি বিভাগ চাই,2
আমি বিমানবন্দর দেখবো,2
আমি বিরতি নিছি,2
আমি ভদ্র থাকি,2
আমি ভর্তি পরীক্ষা দিয়েছি,2
আমি ভাবছি পড়বো,2
আমি ভালো আছি..,2
আমি ভালো মুখস্থ করছি,2
আমি ভালো সাইকেল চালাই,2
আমি ভয় পাই না,2
আমি মন্দিরে যাবো,2
আমি মাছ খাবো,2
আমি মাথায় তেল দিবো,2
আমি মেন্টালী অসুস্থ,2
আমি ম্যডামের কাছে পড়ি,2
আমি যাদুঘর দেখেছি,2
আমি রসুন খাবো,2
আমি রান্না জানি,2
আমি রেস্টুরেন্টে খাবো,2
আমি লিখতে জানি,2
আমি লুজার হতে চাই না,2
আমি শাক খাবো,2
আমি শারীরিক ভাবে অসুস্থ,2
আমি শ্রমিকের সাথে কথা বলি,2
আমি সংসদ ভোবন দেখেছি,2
আমি সবজি খাবো,2
আমি সাংবাদিককে দেখেছি,2
আমি সিংগেল,2
আমি স্মৃতিশৌধ দেখেছি,2
আমি স্যারের কাছে পড়ি,2
আমি হসপিটালে যাবো,2
আমিও অনেক ভালো আছি,2
আর্মি আমাকে দেখেছে,2
ইংরেজি ভাষা বলি,2
ইংরেজি ভাষা সুন্দর,2
এই বিষয় পরীক্ষা কেমন হয়েছে,2
এই বিষয়টি ভেবেছো,2
একটু সময় হবে কিছু বলতে পারি,2
এখন গ্রীষ্মকাল,2
এখন বসন্তকাল,2
এখন শরৎ কাল,2
এখন শীতকাল,2
এখন হেমন্ত কাল,2
এবং আমার অনেক পছন্দ,2
এবং তারা নরসিংদী থাকে,2
এবং তারা বাংলাদেশে থাকে,2
ঐ মেয়েটি আমার বন্ধু,2
ঔষুধ খাও সুস্থ থাকো,2
করোনাভাইরাসেডাক্তারনার্সপুলিশ সাংবাদিকঅনেকঝুকিনিয়ে,2
কলেজে তুমি যাবা কখন,2
কি ভাবছো,2
কৃষক আমাকে দেখেছে,2
কৃষক আমাকে ধরেছে,2
কেমন আছো,2
কোকো মুভিটি দারুন,2
ক্লাস ৫ এর শিক্ষার্থীরা স্যারকে অনেক পছন্দ করে,2
ক্ষিদা লেগেছে খাবো,2
খাবার ভালো ছিল,2
খালা,2
গতকাল ছিল শুক্রবার,2
গনিত সুন্দর বিষয়,2
চলুন শুরু করি,2
চলো যাই,2
চাচা,2
চাচী আমার অনেক ভালো,2
চিনি খাবো না,2
ছাত্র ছাত্রীরা পড়া লেখা করে,2
ঠিকাছে দেখবো,2
ডাক্তার অনেক ভালো পেশা,2
তাদের মনের কথা,2
তাদের সাথে কথা বলার উপায় কি,2
তার অনেক সর্দি হয়েছে,2
তার স্বাস্থ্য ভালো আছে,2
তার স্বাস্থ্য ভালো নেই,2
তারা সবাই আলু খাবে,2
তারা সবাই ডাল খাবে,2
তারা সবাই পেয়াজ খাবে,2
তাারা আমাকে অনেক পছন্দ করে,2
তিনি অনেক বুদ্ধিমতি,2
তুমি অংক ভালো পারো না,2
তুমি অনেক খুশি,2
তুমি অনেক দূর্বল,2
তুমি অনেক ভালো,2
তুমি আলু খাবে,2
তুমি ইংরেজি বলো কিভাবে,2
তুমি ইশারা ভাষা বলো,2
তুমি উত্তর দিবা,2
তুমি একজন অটিজম,2
তুমি এখন মন্দিরে যাবে,2
তুমি এখন মসজিদে যাবে,2
তুমি এখন যাও,2
তুমি ঔষুধ খাও,2
তুমি কখন হাটবা,2
তুমি কফি খাবে,2
তুমি কি চাও,2
তুমি কি সি পি! কিভাবে,2
তুমি কিভাবে অসুস্থ ঔষুধ খাইছো,2
তুমি কুলি দেখেছো,2
তুমি কোথা থেকে এসেছো,2
তুমি চিঠি লিখবা,2
তুমি চুপ থাকো,2
তুমি জানো,2
তুমি জাম খাবে,2
তুমি জেলে কেন,2
তুমি ডাল খাবে,2
তুমি তরকারিতে রসুন খাবে,2
তুমি দারুন করেছো,2
তুমি দৃষ্টি প্রতিবিন্ধী কীভাবে,2
তুমি নোটিশ দেখেছো,2
তুমি পরীক্ষা পাশ করছো,2
তুমি পেন্সিল দিয়ে লিখো,2
তুমি পেন্সিল সার্পনার দিয়ে কেটেছো,2
তুমি পেয়াজ খাবে,2
তুমি প্যাগোডায় যাবে,2
তুমি পড়ো,2
তুমি ফোন দিও আমাকে,2
তুমি বর্তমানে কি করছো,2
তুমি বাংলা বলো কীভাবে,2
তুমি বাক ও শ্রবন প্রতিবন্ধী কেন,2
তুমি বাক্য লিখো,2
তুমি বিজ্ঞান বই পড়তে যানো,2
তুমি বিভাগ চাও,2
তুমি বিরতি নিছো,2
তুমি ভর্তি কোথায় হয়েছো,2
